"Occupation","Genre","AvgRating"
"doctor","Animation","3.3636363"
"other","Horror","3.2448597"
"healthcare","Musical","3.2777777"
"librarian","Animation","3.5534592"
"healthcare","War","3.2652173"
"scientist","Action","3.4222615"
"retired","Musical","3.5268817"
"doctor","Crime","3.804878"
"educator","War","3.9084578"
"other","Documentary","3.7846153"
"lawyer","War","3.943662"
"technician","Action","3.4596848"
"entertainment","Action","3.4068136"
"librarian","Western","3.5853658"
"executive","Animation","3.5604396"
"programmer","unknown","4.0"
"marketing","War","3.8464913"
"engineer","War","3.839161"
"homemaker","Mystery","3.6875"
"healthcare","Animation","2.8651686"
"executive","Western","3.6734693"
"retired","Romance","3.4766355"
"executive","War","3.8237178"
"executive","Film-Noir","3.6034484"
"engineer","Drama","3.701554"
"librarian","Fantasy","3.2181818"
"executive","Children's","3.2025862"
"scientist","Comedy","3.446729"
"entertainment","Comedy","3.2961671"
"homemaker","Drama","3.5384614"
"lawyer","Romance","3.8345587"
"doctor","Film-Noir","4.111111"
"doctor","Children's","3.5"
"none","Western","3.5"
"marketing","Sci-Fi","3.5475113"
"engineer","Sci-Fi","3.5839477"
"engineer","Mystery","3.6336088"
"lawyer","Musical","3.8611112"
"engineer","Thriller","3.489486"
"salesman","Horror","3.3265307"
"healthcare","Romance","2.995992"
"programmer","War","3.8887417"
"student","Romance","3.6508663"
"artist","Fantasy","3.2916667"
"programmer","Children's","3.3447685"
"entertainment","Drama","3.6057215"
"none","Horror","3.857143"
"retired","Drama","3.514443"
"student","Musical","3.5018554"
"salesman","Animation","3.6666667"
"other","Children's","3.4880817"
"educator","Drama","3.811259"
"educator","Mystery","3.7894738"
"lawyer","Documentary","3.9"
"librarian","Adventure","3.4048507"
"scientist","Fantasy","3.15"
"artist","War","3.9022222"
"technician","Drama","3.6949806"
"marketing","Adventure","3.4349594"
"engineer","Film-Noir","3.9241378"
"programmer","Comedy","3.4280398"
"retired","Children's","3.2818182"
"salesman","Crime","3.8607595"
"other","Crime","3.5954106"
"programmer","Musical","3.5246754"
"executive","Fantasy","2.84"
"none","Thriller","3.835878"
"doctor","Adventure","3.5614035"
"educator","Documentary","3.775701"
"programmer","Romance","3.6435714"
"artist","Documentary","4.147059"
"salesman","Western","3.9375"
"writer","Crime","3.502008"
"healthcare","Adventure","3.012384"
"doctor","Sci-Fi","3.5"
"other","Fantasy","3.3888888"
"writer","unknown","1.0"
"writer","Adventure","3.3026707"
"administrator","War","3.9249363"
"librarian","Film-Noir","3.96875"
"entertainment","Western","3.5925925"
"executive","Sci-Fi","3.6265984"
"other","Mystery","3.5906737"
"healthcare","Film-Noir","3.1"
"retired","War","3.6275861"
"lawyer","Crime","3.7476635"
"salesman","Film-Noir","3.7857144"
"healthcare","Thriller","3.0497336"
"technician","unknown","4.0"
"technician","Children's","3.2714932"
"retired","Thriller","3.4368932"
"librarian","Thriller","3.5076766"
"artist","Western","3.862069"
"programmer","Action","3.5658915"
"scientist","Mystery","3.7295082"
"none","Sci-Fi","3.8068964"
"engineer","Animation","3.614325"
"engineer","Horror","3.2826087"
"administrator","Mystery","3.7636364"
"executive","Crime","3.5052264"
"educator","Thriller","3.581777"
"salesman","Adventure","3.7171717"
"scientist","Crime","3.8135593"
"scientist","Film-Noir","4.025641"
"homemaker","Romance","3.5254238"
"artist","Musical","3.4140127"
"technician","Adventure","3.4587815"
"engineer","Musical","3.5170069"
"administrator","Crime","3.6938052"
"none","Mystery","3.5454545"
"technician","Western","3.483146"
"writer","Western","3.4148936"
"salesman","Comedy","3.1878982"
"entertainment","Mystery","3.4772727"
"homemaker","Comedy","2.967742"
"lawyer","Fantasy","3.142857"
"retired","Comedy","3.4589844"
"homemaker","Musical","2.8"
"librarian","Documentary","3.8125"
"lawyer","Animation","3.7714286"
"executive","Mystery","3.6009853"
"programmer","Film-Noir","3.886525"
"doctor","Horror","3.5"
"homemaker","Animation","3.1111112"
"writer","Comedy","3.268742"
"entertainment","Horror","3.2291667"
"homemaker","Sci-Fi","3.2"
"administrator","Horror","3.393862"
"lawyer","Thriller","3.8137653"
"scientist","Animation","3.6393442"
"lawyer","Adventure","3.859155"
"educator","Children's","3.3979764"
"salesman","Action","3.6531532"
"healthcare","Documentary","2.6"
"student","Horror","3.3895524"
"homemaker","Action","3.4565217"
"doctor","Mystery","3.9629629"
"engineer","Romance","3.6448534"
"artist","Animation","3.4214876"
"salesman","Fantasy","3.3333333"
"marketing","Mystery","3.5859375"
"technician","Fantasy","3.1578948"
"writer","Fantasy","3.1971831"
"none","Action","3.7242525"
"artist","Horror","3.4607842"
"lawyer","Film-Noir","4.5"
"homemaker","Thriller","3.3578947"
"healthcare","Mystery","3.1214285"
"engineer","Adventure","3.538876"
"executive","Thriller","3.5215783"
"executive","Drama","3.477612"
"doctor","Thriller","3.7692308"
"marketing","Musical","3.2982457"
"educator","Horror","3.1710215"
"entertainment","unknown","4.0"
"salesman","Documentary","4.0"
"other","Thriller","3.495476"
"doctor","Musical","3.5925925"
"artist","Action","3.5397727"
"programmer","Crime","3.6696696"
"lawyer","Action","3.6925795"
"librarian","War","3.6839917"
"doctor","Comedy","3.5595238"
"student","Action","3.466552"
"none","Musical","3.860465"
"homemaker","Horror","3.2222223"
"administrator","Animation","3.7389162"
"administrator","Sci-Fi","3.650743"
"administrator","Documentary","3.875"
"lawyer","Horror","3.8666666"
"educator","Action","3.5815494"
"marketing","Romance","3.4778068"
"doctor","Romance","3.699248"
"technician","Animation","3.6060605"
"retired","Mystery","3.7142856"
"entertainment","Thriller","3.3953068"
"none","Crime","3.5945945"
"executive","Adventure","3.5298166"
"programmer","Mystery","3.616"
"doctor","War","4.159091"
"student","Comedy","3.3756826"
"administrator","Thriller","3.6044586"
"administrator","Action","3.5387514"
"entertainment","War","3.8045976"
"doctor","Drama","3.7857144"
"entertainment","Documentary","3.8695652"
"student","Fantasy","3.0482955"
"other","Musical","3.6272085"
"educator","Romance","3.7587237"
"scientist","Adventure","3.4421053"
"educator","Sci-Fi","3.622718"
"administrator","Children's","3.448052"
"none","Comedy","3.6784313"
"lawyer","Comedy","3.4934783"
"lawyer","Children's","3.373494"
"administrator","Romance","3.7413905"
"technician","Film-Noir","4.021739"
"educator","Musical","3.5945945"
"administrator","Musical","3.5960453"
"scientist","Musical","3.5494506"
"educator","Crime","3.7521126"
"artist","Sci-Fi","3.8181818"
"scientist","Romance","3.615909"
"engineer","Comedy","3.433552"
"programmer","Horror","3.2904885"
"librarian","Children's","3.389655"
"student","Documentary","3.8290598"
"technician","Crime","3.509091"
"marketing","Western","3.5142858"
"other","Romance","3.6146073"
"doctor","Western","3.8"
"salesman","Drama","3.9842272"
"administrator","Fantasy","3.468085"
"educator","unknown","3.0"
"artist","Children's","3.3910892"
"marketing","Thriller","3.4230769"
"programmer","Thriller","3.588"
"entertainment","Romance","3.4883041"
"executive","Action","3.5321782"
"writer","Drama","3.5113225"
"student","Drama","3.7028418"
"scientist","Sci-Fi","3.5786164"
"entertainment","Sci-Fi","3.5294118"
"doctor","Action","3.6181817"
"salesman","Romance","3.6325302"
"administrator","Adventure","3.5215685"
"engineer","Fantasy","3.2"
"salesman","Musical","3.5925925"
"educator","Comedy","3.5649927"
"doctor","Fantasy","3.0"
"librarian","Drama","3.7016034"
"none","Romance","3.92"
"marketing","Comedy","3.3607476"
"homemaker","Children's","2.92"
"homemaker","Fantasy","1.6666666"
"artist","Thriller","3.590336"
"salesman","Children's","3.5"
"scientist","Drama","3.8154507"
"student","Western","3.5490196"
"programmer","Adventure","3.5959678"
"retired","Adventure","3.3875"
"none","Documentary","4.0"
"none","War","4.072727"
"programmer","Documentary","3.72549"
"administrator","Drama","3.7960632"
"administrator","Comedy","3.4947798"
"none","unknown","5.0"
"homemaker","Adventure","3.4390244"
"engineer","Western","3.6"
"marketing","Children's","3.0920246"
"administrator","Film-Noir","3.972789"
"student","Sci-Fi","3.5311177"
"other","unknown","4.0"
"artist","Drama","3.7899687"
"healthcare","Sci-Fi","3.030075"
"retired","Documentary","3.4375"
"retired","Western","3.5151515"
"executive","unknown","1.0"
"retired","Action","3.4100718"
"healthcare","Drama","2.9822667"
"lawyer","Sci-Fi","3.6028368"
"artist","Adventure","3.5819936"
"writer","Action","3.2856038"
"other","War","3.842"
"marketing","Drama","3.6080098"
"entertainment","Film-Noir","3.9148936"
"engineer","Children's","3.3863275"
"salesman","War","3.948052"
"scientist","Horror","3.3857143"
"engineer","Crime","3.666121"
"artist","Comedy","3.5218801"
"technician","Sci-Fi","3.6308851"
"writer","Children's","3.3242507"
"entertainment","Musical","3.3676472"
"writer","Horror","3.1079295"
"programmer","Animation","3.6602564"
"student","War","3.819209"
"retired","Animation","3.6285715"
"student","Children's","3.3564525"
"marketing","Film-Noir","4.1"
"scientist","War","3.8156862"
"entertainment","Adventure","3.3654618"
"engineer","Action","3.488801"
"artist","Romance","3.729437"
"entertainment","Crime","3.710145"
"salesman","Sci-Fi","3.5408163"
"retired","Horror","3.3181818"
"technician","Mystery","3.6892655"
"writer","Mystery","3.6298509"
"artist","Film-Noir","4.234375"
"writer","Documentary","3.7826087"
"executive","Horror","3.2"
"other","Drama","3.719294"
"technician","Horror","3.4207318"
"homemaker","Film-Noir","3.25"
"technician","War","3.7154047"
"scientist","Documentary","3.8823528"
"retired","Film-Noir","4.023256"
"scientist","Thriller","3.4968016"
"writer","Sci-Fi","3.3472428"
"educator","Fantasy","3.5089285"
"retired","Fantasy","3.3636363"
"lawyer","Drama","3.8029466"
"student","Adventure","3.4845145"
"healthcare","Crime","3.045"
"writer","Thriller","3.3757668"
"writer","Film-Noir","3.968"
"programmer","Fantasy","3.3675213"
"programmer","Western","3.7469137"
"none","Drama","3.9328358"
"librarian","Mystery","3.6894197"
"librarian","Crime","3.6540542"
"salesman","Mystery","3.775"
"other","Film-Noir","3.8424656"
"marketing","Crime","3.515528"
"artist","Crime","3.676617"
"student","unknown","3.0"
"engineer","unknown","3.0"
"other","Sci-Fi","3.516103"
"writer","Animation","3.5"
"student","Animation","3.5634573"
"student","Mystery","3.555005"
"none","Children's","3.7252748"
"other","Adventure","3.554158"
"entertainment","Animation","3.467742"
"marketing","Animation","3.278481"
"none","Adventure","3.70625"
"lawyer","Western","3.7714286"
"programmer","Drama","3.7557142"
"librarian","Sci-Fi","3.4862204"
"programmer","Sci-Fi","3.680377"
"retired","Sci-Fi","3.5076923"
"lawyer","Mystery","3.9230769"
"technician","Comedy","3.3816288"
"student","Crime","3.6574075"
"healthcare","Western","2.8297873"
"writer","Musical","3.4742646"
"student","Film-Noir","3.8327138"
"homemaker","Documentary","3.5"
"entertainment","Fantasy","2.96"
"technician","Romance","3.6310077"
"healthcare","Children's","2.7183099"
"other","Comedy","3.406951"
"marketing","Documentary","3.5833333"
"librarian","Comedy","3.4568527"
"technician","Thriller","3.4886935"
"homemaker","War","3.5"
"doctor","Documentary","3.4615386"
"educator","Animation","3.5931559"
"healthcare","Action","3.0537262"
"none","Fantasy","3.5833333"
"librarian","Romance","3.5485945"
"other","Western","3.627907"
"healthcare","Horror","2.55"
"none","Film-Noir","3.5"
"executive","Musical","3.6259542"
"scientist","Children's","3.4814816"
"technician","Documentary","3.9583333"
"executive","Comedy","3.0988433"
"marketing","Fantasy","3.4"
"executive","Romance","3.4729729"
"librarian","Musical","3.3487394"
"administrator","Western","3.702381"
"salesman","Thriller","3.585"
"marketing","Horror","3.4186046"
"student","Thriller","3.5062377"
"educator","Western","3.851852"
"educator","Adventure","3.619681"
"executive","Documentary","2.1923077"
"healthcare","Fantasy","2.7894738"
"other","Action","3.4756737"
"writer","War","3.577528"
"technician","Musical","3.4571428"
"artist","Mystery","3.792683"
"writer","Romance","3.469712"
"healthcare","Comedy","2.7132964"
"librarian","Action","3.4018219"
"none","Animation","3.9767442"
"entertainment","Children's","3.0865386"
"engineer","Documentary","3.6666667"
"marketing","Action","3.4842768"
"homemaker","Crime","3.36"
"other","Animation","3.672209"
"educator","Film-Noir","4.0643563"
"retired","Crime","3.6131387"
"scientist","Western","3.625"
"librarian","Horror","3.1681416"
